_timestamp,train/grad_norm,train/loss,eval/samples_per_second,eval/steps_per_second,train/wall_seconds_measured,eval/runtime,train/learning_rate,train/epoch,eval/loss,_step,train/peak_gpu_allocated_gib,train/global_step,train/peak_gpu_reserved_gib,_runtime
1785428360.7022185,0.5581814050674438,0.5245,,,,,0.0,0.0049382716049382715,,0,,1,,3.277557377
1785428371.5300143,0.6384181976318359,0.5077,,,,,4.2857142857142856e-05,0.04938271604938271,,1,,10,,14.105226117
1785428383.7901464,0.32730603218078613,0.3854,,,,,9.047619047619048e-05,0.09876543209876543,,2,,20,,26.365353988
1785428396.1633003,0.17260350286960602,0.2744,,,,,9.989350136627627e-05,0.14814814814814814,,3,,30,,38.738384864
1785428408.63543,0.2305014431476593,0.2136,,,,,9.946162809388176e-05,0.19753086419753085,,4,,40,,51.210484093
1785428420.97901,0.1917744278907776,0.1598,,,,,9.870059584711668e-05,0.24691358024691357,,5,,50,,63.554350086
1785428433.286771,0.2568974792957306,0.1388,,,,,9.761546917002178e-05,0.2962962962962963,,6,,60,,75.862398341
1785428445.856695,0.18948876857757568,0.1171,,,,,9.62134694015998e-05,0.345679012345679,,7,,70,,88.431854128
1785428458.2439404,0.26993048191070557,0.0952,,,,,9.450392661899594e-05,0.3950617283950617,,8,,80,,100.819099114
1785428470.6579578,0.24015317857265472,0.0868,,,,,9.249821754737369e-05,0.4444444444444444,,9,,90,,113.233048979
1785428482.9856532,0.2343347817659378,0.0739,,,,,9.020968984968603e-05,0.49382716049382713,,10,,100,,125.56086102
1785428495.3008642,0.27861642837524414,0.0683,,,,,8.765357330018056e-05,0.5432098765432098,,11,,110,,137.876066897
1785428507.8548374,0.23970305919647217,0.066,,,,,8.484687843276469e-05,0.5925925925925926,,12,,120,,150.430069769
1785428520.3664913,0.22777149081230164,0.0664,,,,,8.180828333870901e-05,0.6419753086419753,,13,,130,,162.941610051
1785428532.8868175,0.28951069712638855,0.0572,,,,,7.855800936703157e-05,0.691358024691358,,14,,140,,175.462033263
1785428544.9593117,0.22699420154094696,0.0587,,,,,7.511768655475641e-05,0.7407407407407407,,15,,150,,187.534544505
1785428557.137919,0.27703621983528137,0.0483,,,,,7.151020968258595e-05,0.7901234567901234,,16,,160,,199.71314603
1785428569.5839875,0.31691908836364746,0.0555,,,,,6.775958591391264e-05,0.8395061728395061,,17,,170,,212.159105207
1785428581.8340662,0.25544893741607666,0.0443,,,,,6.389077503110769e-05,0.8888888888888888,,18,,180,,224.409276437
1785428594.3738012,0.18487809598445892,0.0495,,,,,5.992952333228728e-05,0.9382716049382716,,19,,190,,236.948921969
1785428606.7517512,0.2346368283033371,0.0484,,,,,5.590219229394652e-05,0.9876543209876543,,20,,200,,249.326961544
1785428621.2258713,,,31.641,7.91,,11.3775,,1.0,0.050128333270549774,21,,203,,263.801158849
1785428630.5817652,0.3430354595184326,0.0476,,,,,5.183558313968274e-05,1.0345679012345679,,22,,210,,273.156913023
1785428643.1042194,0.24277347326278687,0.0434,,,,,4.775675848247427e-05,1.0839506172839506,,23,,220,,285.679448568
1785428655.254091,0.22425146400928497,0.0436,,,,,4.369286222745613e-05,1.1333333333333333,,24,,230,,297.82922939
1785428667.718393,0.21270638704299927,0.0399,,,,,3.967093893370978e-05,1.182716049382716,,25,,240,,310.293583975
1785428680.2526631,0.24723277986049652,0.0416,,,,,3.571775383718447e-05,1.2320987654320987,,26,,250,,322.827807038
1785428692.812985,0.19258318841457367,0.0393,,,,,3.1859614732467954e-05,1.2814814814814814,,27,,260,,335.388205332
1785428705.2697794,0.2871851921081543,0.0415,,,,,2.812219689875397e-05,1.3308641975308642,,28,,270,,347.844994158
1785428718.1732643,0.32236137986183167,0.0392,,,,,2.4530372235095338e-05,1.3802469135802469,,29,,280,,360.748499538
1785428730.408611,0.20884117484092712,0.0437,,,,,2.1108043742019357e-05,1.4296296296296296,,30,,290,,372.983795129
1785428742.811045,0.21510718762874603,0.0381,,,,,1.7877986451002993e-05,1.4790123456790123,,31,,300,,385.386206084
1785428755.2133913,0.44571036100387573,0.042,,,,,1.4861695860396019e-05,1.528395061728395,,32,,310,,397.78885104
1785428767.1911473,0.2624410092830658,0.0398,,,,,1.2079244886426017e-05,1.5777777777777777,,33,,320,,409.766363081
1785428779.3229973,0.23976223170757294,0.0382,,,,,9.549150281252633e-06,1.6271604938271604,,34,,330,,421.898129564
1785428791.7082634,0.24015109241008759,0.0398,,,,,7.288249407037084e-06,1.6765432098765434,,35,,340,,434.283379347
1785428804.3471823,0.2782271206378937,0.0357,,,,,5.311588186074901e-06,1.7259259259259259,,36,,350,,446.922301427
1785428816.8596547,0.23985974490642548,0.0378,,,,,3.632320972665415e-06,1.7753086419753088,,37,,360,,459.434782295
1785428828.8622007,0.21022669970989227,0.0371,,,,,2.2616230130542982e-06,1.8246913580246913,,38,,370,,471.437319052
1785428841.3870244,0.2412322610616684,0.039,,,,,1.2086160760135079e-06,1.8740740740740742,,39,,380,,483.962142094
1785428853.3647833,0.2738001346588135,0.038,,,,,4.803077489751395e-07,1.9234567901234567,,40,,390,,495.939881971
1785428865.1615763,0.2224418818950653,0.0405,,,,,8.15448036932176e-08,1.9728395061728397,,41,,400,,507.73662295
1785428883.4321744,,,31.763,7.941,,11.3341,,2.0,0.042016781866550446,42,,406,,526.007509477
1785428884.0272486,,,,,,,,2.0,,43,,406,,526.602278629
1785428884.9261212,,,,,530.1710433550179,,,2.0,,44,4.747030258178711,406,4.79296875,527.502005488
